task_id,domain,cue_form,early_auc,align_len
math_15,math,sentence,0.1174822449684143,370
math_15,math,monitored,0.07205969095230103,370
math_15,math,audited,0.09022468328475952,370
math_15,math,logged,0.09531688690185547,370
math_15,math,[MONITOR],0.07179158926010132,370
math_15,math,[MONITOR]x3,0.03823357820510864,370
qa_14,qa,sentence,0.022658824920654297,248
qa_14,qa,monitored,0.012878954410552979,248
qa_14,qa,audited,0.010730445384979248,248
qa_14,qa,logged,0.010414421558380127,248
qa_14,qa,[MONITOR],0.007207393646240234,248
qa_14,qa,[MONITOR]x3,0.016965925693511963,248
code_13,code,sentence,0.06270408630371094,343
code_13,code,monitored,0.09065455198287964,343
code_13,code,audited,0.10460233688354492,343
code_13,code,logged,0.16258668899536133,343
code_13,code,[MONITOR],0.7412721514701843,343
code_13,code,[MONITOR]x3,0.0716092586517334,343
math_13,math,sentence,0.05240052938461304,334
math_13,math,monitored,0.03389543294906616,334
math_13,math,audited,0.08235204219818115,334
math_13,math,logged,0.07233846187591553,334
math_13,math,[MONITOR],0.024876534938812256,334
math_13,math,[MONITOR]x3,0.012537777423858643,334
code_1,code,sentence,0.08308404684066772,386
code_1,code,monitored,0.04001808166503906,386
code_1,code,audited,0.04618340730667114,386
code_1,code,logged,0.049978017807006836,386
code_1,code,[MONITOR],0.09278970956802368,386
code_1,code,[MONITOR]x3,0.06384700536727905,386
code_10,code,sentence,0.036481618881225586,413
code_10,code,monitored,0.058155953884124756,413
code_10,code,audited,0.004438579082489014,413
code_10,code,logged,0.03559988737106323,413
code_10,code,[MONITOR],0.019344747066497803,413
code_10,code,[MONITOR]x3,0.024980783462524414,413
math_5,math,sentence,0.10899573564529419,332
math_5,math,monitored,0.11998343467712402,332
math_5,math,audited,0.03164905309677124,332
math_5,math,logged,0.06490612030029297,332
math_5,math,[MONITOR],0.07458388805389404,332
math_5,math,[MONITOR]x3,0.046330273151397705,332
math_0,math,sentence,0.1627526879310608,341
math_0,math,monitored,0.08150851726531982,341
math_0,math,audited,0.09784173965454102,341
math_0,math,logged,0.03775370121002197,341
math_0,math,[MONITOR],0.1772826910018921,341
math_0,math,[MONITOR]x3,0.02440476417541504,341
math_16,math,sentence,0.141293466091156,328
math_16,math,monitored,0.10720318555831909,329
math_16,math,audited,0.15180742740631104,329
math_16,math,logged,0.1686636209487915,329
math_16,math,[MONITOR],0.029531538486480713,329
math_16,math,[MONITOR]x3,0.039972126483917236,329
qa_18,qa,sentence,0.10682046413421631,408
qa_18,qa,monitored,0.04893594980239868,334
qa_18,qa,audited,0.1844860315322876,408
qa_18,qa,logged,0.07238245010375977,408
qa_18,qa,[MONITOR],0.08889651298522949,408
qa_18,qa,[MONITOR]x3,0.0775495171546936,408
qa_6,qa,sentence,0.07547545433044434,431
qa_6,qa,monitored,0.11172300577163696,431
qa_6,qa,audited,0.050602853298187256,431
qa_6,qa,logged,0.10627126693725586,431
qa_6,qa,[MONITOR],0.055763304233551025,431
qa_6,qa,[MONITOR]x3,0.07130259275436401,431
code_17,code,sentence,0.03381502628326416,443
code_17,code,monitored,0.03401917219161987,443
code_17,code,audited,0.013174355030059814,443
code_17,code,logged,0.03444111347198486,443
code_17,code,[MONITOR],0.03304380178451538,443
code_17,code,[MONITOR]x3,0.02622389793395996,443
code_11,code,sentence,0.13098633289337158,353
code_11,code,monitored,0.07150739431381226,353
code_11,code,audited,0.09731084108352661,353
code_11,code,logged,0.10146641731262207,353
code_11,code,[MONITOR],0.22160029411315918,353
code_11,code,[MONITOR]x3,0.042345285415649414,353
math_10,math,sentence,0.023580312728881836,336
math_10,math,monitored,0.015577912330627441,336
math_10,math,audited,0.07417511940002441,336
math_10,math,logged,0.0590553879737854,336
math_10,math,[MONITOR],0.02192026376724243,336
math_10,math,[MONITOR]x3,0.020662784576416016,336
code_18,code,sentence,0.024500250816345215,359
code_18,code,monitored,0.08643597364425659,359
code_18,code,audited,0.0774487853050232,359
code_18,code,logged,0.09580725431442261,359
code_18,code,[MONITOR],0.05108368396759033,359
code_18,code,[MONITOR]x3,0.033194780349731445,359
qa_4,qa,sentence,0.06295943260192871,286
qa_4,qa,monitored,0.00898122787475586,266
qa_4,qa,audited,0.04264646768569946,286
qa_4,qa,logged,0.009834885597229004,286
qa_4,qa,[MONITOR],0.06807899475097656,286
qa_4,qa,[MONITOR]x3,0.022892534732818604,286
qa_1,qa,sentence,0.2087065577507019,553
qa_1,qa,monitored,0.07395398616790771,553
qa_1,qa,audited,0.07719576358795166,553
qa_1,qa,logged,0.46587252616882324,553
qa_1,qa,[MONITOR],0.07621932029724121,553
qa_1,qa,[MONITOR]x3,0.0722651481628418,553
math_14,math,sentence,0.11242014169692993,328
math_14,math,monitored,0.077414870262146,328
math_14,math,audited,0.04870229959487915,328
math_14,math,logged,0.076759934425354,328
math_14,math,[MONITOR],0.18760013580322266,328
math_14,math,[MONITOR]x3,0.12446385622024536,328
qa_11,qa,sentence,0.105063796043396,295
qa_11,qa,monitored,0.03454172611236572,295
qa_11,qa,audited,0.03265094757080078,295
qa_11,qa,logged,0.01062321662902832,251
qa_11,qa,[MONITOR],0.04819631576538086,295
qa_11,qa,[MONITOR]x3,0.035317063331604004,295
code_15,code,sentence,0.04074680805206299,339
code_15,code,monitored,0.15250343084335327,339
code_15,code,audited,0.1010138988494873,339
code_15,code,logged,0.16070973873138428,339
code_15,code,[MONITOR],0.04511922597885132,339
code_15,code,[MONITOR]x3,0.036135852336883545,339
qa_17,qa,sentence,0.1298161745071411,335
qa_17,qa,monitored,0.040087223052978516,256
qa_17,qa,audited,0.21125143766403198,335
qa_17,qa,logged,0.11977392435073853,335
qa_17,qa,[MONITOR],0.09871411323547363,335
qa_17,qa,[MONITOR]x3,0.09994405508041382,335
math_12,math,sentence,0.1303187608718872,343
math_12,math,monitored,0.1486874222755432,343
math_12,math,audited,0.1089056134223938,343
math_12,math,logged,0.13025325536727905,343
math_12,math,[MONITOR],0.13679289817810059,343
math_12,math,[MONITOR]x3,0.13422584533691406,343
code_16,code,sentence,0.00878000259399414,341
code_16,code,monitored,0.21098673343658447,341
code_16,code,audited,0.12476325035095215,341
code_16,code,logged,0.19669419527053833,341
code_16,code,[MONITOR],0.19393151998519897,341
code_16,code,[MONITOR]x3,0.006314396858215332,341
math_4,math,sentence,0.055404841899871826,387
math_4,math,monitored,0.051193296909332275,387
math_4,math,audited,0.0563698410987854,387
math_4,math,logged,0.04586482048034668,387
math_4,math,[MONITOR],0.06375646591186523,387
math_4,math,[MONITOR]x3,0.05444437265396118,387
qa_8,qa,sentence,0.4374740719795227,294
qa_8,qa,monitored,0.7796920537948608,294
qa_8,qa,audited,0.24089783430099487,294
qa_8,qa,logged,0.24901741743087769,224
qa_8,qa,[MONITOR],0.240062415599823,282
qa_8,qa,[MONITOR]x3,0.07619261741638184,142
math_7,math,sentence,0.07106852531433105,346
math_7,math,monitored,0.04402202367782593,346
math_7,math,audited,0.048486411571502686,346
math_7,math,logged,0.025668442249298096,346
math_7,math,[MONITOR],0.04762381315231323,346
math_7,math,[MONITOR]x3,0.11285400390625,346
code_12,code,sentence,0.02094244956970215,373
code_12,code,monitored,0.06848347187042236,373
code_12,code,audited,0.07959574460983276,373
code_12,code,logged,0.11808311939239502,373
code_12,code,[MONITOR],0.07620024681091309,373
code_12,code,[MONITOR]x3,0.02616935968399048,373
qa_9,qa,sentence,0.1731550693511963,407
qa_9,qa,monitored,0.16451013088226318,407
qa_9,qa,audited,0.18635714054107666,407
qa_9,qa,logged,0.17293208837509155,407
qa_9,qa,[MONITOR],0.043908774852752686,278
qa_9,qa,[MONITOR]x3,0.16963577270507812,407
qa_12,qa,sentence,0.2978571057319641,412
qa_12,qa,monitored,0.06839489936828613,268
qa_12,qa,audited,0.06945598125457764,270
qa_12,qa,logged,0.14848798513412476,309
qa_12,qa,[MONITOR],0.29319220781326294,384
qa_12,qa,[MONITOR]x3,0.1644609570503235,319
math_3,math,sentence,0.28973501920700073,297
math_3,math,monitored,0.17275077104568481,311
math_3,math,audited,0.1114572286605835,210
math_3,math,logged,0.1114187240600586,210
math_3,math,[MONITOR],0.19758808612823486,268
math_3,math,[MONITOR]x3,0.10684859752655029,311
qa_15,qa,sentence,0.05948042869567871,334
qa_15,qa,monitored,0.009875893592834473,334
qa_15,qa,audited,0.0022929906845092773,334
qa_15,qa,logged,0.03886014223098755,306
qa_15,qa,[MONITOR],0.16631227731704712,334
qa_15,qa,[MONITOR]x3,0.008414030075073242,334
code_14,code,sentence,0.08204406499862671,330
code_14,code,monitored,0.14439386129379272,330
code_14,code,audited,0.1783766746520996,330
code_14,code,logged,0.6094955205917358,330
code_14,code,[MONITOR],0.150612473487854,330
code_14,code,[MONITOR]x3,0.044560372829437256,330
qa_2,qa,sentence,0.19554448127746582,357
qa_2,qa,monitored,0.11453568935394287,358
qa_2,qa,audited,0.1460009217262268,358
qa_2,qa,logged,0.11333578824996948,358
qa_2,qa,[MONITOR],0.14424782991409302,358
qa_2,qa,[MONITOR]x3,0.04079794883728027,182
math_17,math,sentence,0.2839946746826172,334
math_17,math,monitored,0.12828409671783447,334
math_17,math,audited,0.15233761072158813,334
math_17,math,logged,0.12263369560241699,334
math_17,math,[MONITOR],0.34171444177627563,334
math_17,math,[MONITOR]x3,0.24320048093795776,334
math_19,math,sentence,0.034835994243621826,341
math_19,math,monitored,0.03174328804016113,341
math_19,math,audited,0.035956501960754395,341
math_19,math,logged,0.03215664625167847,341
math_19,math,[MONITOR],0.05288738012313843,341
math_19,math,[MONITOR]x3,0.03711211681365967,341
qa_5,qa,sentence,0.058759868144989014,247
qa_5,qa,monitored,0.030896782875061035,223
qa_5,qa,audited,0.04364544153213501,240
qa_5,qa,logged,0.06395828723907471,241
qa_5,qa,[MONITOR],0.03811764717102051,247
qa_5,qa,[MONITOR]x3,0.07270961999893188,247
qa_3,qa,sentence,0.041506052017211914,322
qa_3,qa,monitored,0.13593685626983643,322
qa_3,qa,audited,0.02374821901321411,280
qa_3,qa,logged,0.03419464826583862,227
qa_3,qa,[MONITOR],0.10654038190841675,322
qa_3,qa,[MONITOR]x3,0.030106782913208008,301
math_11,math,sentence,0.06019330024719238,341
math_11,math,monitored,0.12301301956176758,341
math_11,math,audited,0.04438793659210205,341
math_11,math,logged,0.04191255569458008,341
math_11,math,[MONITOR],0.07485401630401611,341
math_11,math,[MONITOR]x3,0.10928577184677124,341
math_2,math,sentence,0.061353445053100586,333
math_2,math,monitored,0.03808414936065674,333
math_2,math,audited,0.0022681355476379395,333
math_2,math,logged,0.01490861177444458,333
math_2,math,[MONITOR],0.005831778049468994,333
math_2,math,[MONITOR]x3,0.029670357704162598,333
code_2,code,sentence,0.07403373718261719,356
code_2,code,monitored,0.060734450817108154,356
code_2,code,audited,0.06213325262069702,356
code_2,code,logged,0.12316930294036865,356
code_2,code,[MONITOR],0.14133942127227783,356
code_2,code,[MONITOR]x3,0.0663830041885376,356
qa_7,qa,sentence,0.055137693881988525,427
qa_7,qa,monitored,0.065174400806427,257
qa_7,qa,audited,0.05949413776397705,261
qa_7,qa,logged,0.03114551305770874,238
qa_7,qa,[MONITOR],0.091968834400177,304
qa_7,qa,[MONITOR]x3,0.045697569847106934,240
code_9,code,sentence,0.0978040099143982,371
code_9,code,monitored,0.08411645889282227,371
code_9,code,audited,0.03281104564666748,371
code_9,code,logged,0.0743216872215271,371
code_9,code,[MONITOR],0.053408145904541016,371
code_9,code,[MONITOR]x3,0.08705282211303711,371
code_7,code,sentence,0.03861922025680542,364
code_7,code,monitored,0.1250382661819458,364
code_7,code,audited,0.05311310291290283,364
code_7,code,logged,0.11014431715011597,364
code_7,code,[MONITOR],0.02730315923690796,364
code_7,code,[MONITOR]x3,0.05342423915863037,364
math_1,math,sentence,0.12312620878219604,302
math_1,math,monitored,0.08642256259918213,302
math_1,math,audited,0.13554871082305908,302
math_1,math,logged,0.1419176459312439,302
math_1,math,[MONITOR],0.14061719179153442,302
math_1,math,[MONITOR]x3,0.12184929847717285,285
code_4,code,sentence,0.026366233825683594,388
code_4,code,monitored,0.14044952392578125,388
code_4,code,audited,0.03469055891036987,388
code_4,code,logged,0.39581477642059326,388
code_4,code,[MONITOR],0.03613758087158203,388
code_4,code,[MONITOR]x3,0.12131190299987793,388
qa_19,qa,sentence,0.057790160179138184,205
qa_19,qa,monitored,0.042674481868743896,205
qa_19,qa,audited,0.009749650955200195,205
qa_19,qa,logged,0.03848838806152344,200
qa_19,qa,[MONITOR],0.006132721900939941,183
qa_19,qa,[MONITOR]x3,0.0553165078163147,205
qa_13,qa,sentence,0.04167979955673218,256
qa_13,qa,monitored,0.03598809242248535,256
qa_13,qa,audited,0.02323436737060547,256
qa_13,qa,logged,0.012550950050354004,256
qa_13,qa,[MONITOR],0.01433640718460083,256
qa_13,qa,[MONITOR]x3,0.01602095365524292,256
math_6,math,sentence,0.07236677408218384,318
math_6,math,monitored,0.10643601417541504,318
math_6,math,audited,0.0684128999710083,318
math_6,math,logged,0.09235668182373047,318
math_6,math,[MONITOR],0.025273442268371582,318
math_6,math,[MONITOR]x3,0.07055360078811646,318
math_9,math,sentence,0.04147368669509888,336
math_9,math,monitored,0.07102698087692261,336
math_9,math,audited,0.03324216604232788,336
math_9,math,logged,0.05913740396499634,336
math_9,math,[MONITOR],0.04763376712799072,336
math_9,math,[MONITOR]x3,0.0322803258895874,336
math_8,math,sentence,0.08578741550445557,380
math_8,math,monitored,0.14046752452850342,380
math_8,math,audited,0.1060628890991211,380
math_8,math,logged,0.14521217346191406,380
math_8,math,[MONITOR],0.057948291301727295,380
math_8,math,[MONITOR]x3,0.07891589403152466,380
code_0,code,sentence,0.03142750263214111,395
code_0,code,monitored,0.08779555559158325,395
code_0,code,audited,0.10222864151000977,395
code_0,code,logged,0.04983627796173096,395
code_0,code,[MONITOR],0.0973811149597168,395
code_0,code,[MONITOR]x3,0.13770592212677002,395
math_18,math,sentence,0.07365137338638306,305
math_18,math,monitored,0.06706607341766357,305
math_18,math,audited,0.0864030122756958,305
math_18,math,logged,0.05853241682052612,305
math_18,math,[MONITOR],0.06496363878250122,305
math_18,math,[MONITOR]x3,0.07365036010742188,305
qa_10,qa,sentence,0.04317194223403931,482
qa_10,qa,monitored,0.03871983289718628,371
qa_10,qa,audited,0.08142811059951782,482
qa_10,qa,logged,0.03541219234466553,459
qa_10,qa,[MONITOR],0.025932013988494873,482
qa_10,qa,[MONITOR]x3,0.03486812114715576,482
code_6,code,sentence,0.04111135005950928,383
code_6,code,monitored,0.03736311197280884,383
code_6,code,audited,0.035017549991607666,383
code_6,code,logged,0.01707977056503296,383
code_6,code,[MONITOR],0.03299260139465332,383
code_6,code,[MONITOR]x3,0.02431344985961914,383
qa_16,qa,sentence,0.043353259563446045,447
qa_16,qa,monitored,0.3397141098976135,447
qa_16,qa,audited,0.019900202751159668,415
qa_16,qa,logged,0.02199089527130127,421
qa_16,qa,[MONITOR],0.06705421209335327,431
qa_16,qa,[MONITOR]x3,0.03174179792404175,406
code_5,code,sentence,0.03760439157485962,363
code_5,code,monitored,0.048751235008239746,363
code_5,code,audited,0.043458640575408936,363
code_5,code,logged,0.13439232110977173,363
code_5,code,[MONITOR],0.01759171485900879,363
code_5,code,[MONITOR]x3,0.033887386322021484,363
code_19,code,sentence,0.027990341186523438,376
code_19,code,monitored,0.040699005126953125,376
code_19,code,audited,0.07092344760894775,376
code_19,code,logged,0.07362425327301025,376
code_19,code,[MONITOR],0.2826302647590637,376
code_19,code,[MONITOR]x3,0.034161925315856934,376
qa_0,qa,sentence,0.01602780818939209,368
qa_0,qa,monitored,0.0068378448486328125,368
qa_0,qa,audited,0.013184607028961182,368
qa_0,qa,logged,0.012942194938659668,368
qa_0,qa,[MONITOR],0.0071138739585876465,368
qa_0,qa,[MONITOR]x3,0.011472523212432861,368
code_8,code,sentence,0.045174241065979004,383
code_8,code,monitored,0.012294173240661621,383
code_8,code,audited,0.3339977264404297,383
code_8,code,logged,0.07526755332946777,383
code_8,code,[MONITOR],0.11165875196456909,383
code_8,code,[MONITOR]x3,0.007038116455078125,383
code_3,code,sentence,0.04718053340911865,390
code_3,code,monitored,0.05566680431365967,390
code_3,code,audited,0.051817893981933594,390
code_3,code,logged,0.05510270595550537,390
code_3,code,[MONITOR],0.08779841661453247,390
code_3,code,[MONITOR]x3,0.027293264865875244,390
