task_id,domain,position,align_len,early_auc
math_15,math,pre_task,370,0.07709318399429321
math_15,math,post_task,370,0.1324651837348938
math_15,math,pre_reasoning,370,0.1145356297492981
math_15,math,mid_reasoning_pre,130,4.118680953979492e-05
math_15,math,mid_reasoning_post,60,0.6517736911773682
qa_14,qa,pre_task,250,0.027073800563812256
qa_14,qa,post_task,434,0.07483875751495361
qa_14,qa,pre_reasoning,434,0.06208479404449463
qa_14,qa,mid_reasoning_pre,229,2.110004425048828e-05
qa_14,qa,mid_reasoning_post,60,1.1277803778648376
code_13,code,pre_task,343,0.0859333872795105
code_13,code,post_task,343,0.08230900764465332
code_13,code,pre_reasoning,343,0.09733593463897705
code_13,code,mid_reasoning_pre,108,1.7881393432617188e-07
code_13,code,mid_reasoning_post,60,1.952097237110138
math_13,math,pre_task,334,0.046334147453308105
math_13,math,post_task,334,0.07226461172103882
math_13,math,pre_reasoning,334,0.050599873065948486
math_13,math,mid_reasoning_pre,96,5.960464477539063e-08
math_13,math,mid_reasoning_post,60,0.7216416597366333
code_1,code,pre_task,386,0.0227358341217041
code_1,code,post_task,386,0.04824346303939819
code_1,code,pre_reasoning,386,0.07984656095504761
code_1,code,mid_reasoning_pre,155,1.0251998901367188e-05
code_1,code,mid_reasoning_post,60,0.3322452902793884
code_10,code,pre_task,413,0.019193291664123535
code_10,code,post_task,413,0.09435158967971802
code_10,code,pre_reasoning,413,0.13924598693847656
code_10,code,mid_reasoning_pre,177,1.9669532775878906e-05
code_10,code,mid_reasoning_post,60,0.24300193786621094
math_5,math,pre_task,332,0.061801910400390625
math_5,math,post_task,332,0.11266005039215088
math_5,math,pre_reasoning,332,0.10530108213424683
math_5,math,mid_reasoning_pre,92,1.1920928955078125e-07
math_5,math,mid_reasoning_post,60,0.47930908203125
math_0,math,pre_task,341,0.03407561779022217
math_0,math,post_task,341,0.09433537721633911
math_0,math,pre_reasoning,341,0.1529088020324707
math_0,math,mid_reasoning_pre,101,1.1920928955078125e-07
math_0,math,mid_reasoning_post,60,0.6847476363182068
math_16,math,pre_task,329,0.06922805309295654
math_16,math,post_task,329,0.06802171468734741
math_16,math,pre_reasoning,328,0.13697105646133423
math_16,math,mid_reasoning_pre,106,2.2709369659423828e-05
math_16,math,mid_reasoning_post,60,0.7962095737457275
qa_18,qa,pre_task,475,0.03794318437576294
qa_18,qa,post_task,414,0.07931190729141235
qa_18,qa,pre_reasoning,414,0.09368181228637695
qa_18,qa,mid_reasoning_pre,240,2.0265579223632812e-05
qa_18,qa,mid_reasoning_post,60,1.019433081150055
qa_6,qa,pre_task,431,0.07970011234283447
qa_6,qa,post_task,431,0.010020852088928223
qa_6,qa,pre_reasoning,431,0.010493218898773193
qa_6,qa,mid_reasoning_pre,199,1.7881393432617188e-05
qa_6,qa,mid_reasoning_post,60,0.12480562925338745
code_17,code,pre_task,443,0.0312579870223999
code_17,code,post_task,443,0.03502976894378662
code_17,code,pre_reasoning,443,0.03885316848754883
code_17,code,mid_reasoning_pre,200,1.8775463104248047e-05
code_17,code,mid_reasoning_post,60,0.49293291568756104
code_11,code,pre_task,353,0.16118532419204712
code_11,code,post_task,353,0.13099819421768188
code_11,code,pre_reasoning,353,0.20320934057235718
code_11,code,mid_reasoning_pre,137,3.635883331298828e-05
code_11,code,mid_reasoning_post,60,2.130685031414032
math_10,math,pre_task,336,0.013070106506347656
math_10,math,post_task,336,0.019790589809417725
math_10,math,pre_reasoning,336,0.02208566665649414
math_10,math,mid_reasoning_pre,98,-1.1920928955078125e-07
math_10,math,mid_reasoning_post,60,0.7009086012840271
code_18,code,pre_task,359,0.04152405261993408
code_18,code,post_task,359,0.032043397426605225
code_18,code,pre_reasoning,359,0.02509099245071411
code_18,code,mid_reasoning_pre,134,3.790855407714844e-05
code_18,code,mid_reasoning_post,60,0.7224850058555603
qa_4,qa,pre_task,263,0.023577988147735596
qa_4,qa,post_task,396,0.20648086071014404
qa_4,qa,pre_reasoning,396,0.21928346157073975
qa_4,qa,mid_reasoning_pre,165,1.0311603546142578e-05
qa_4,qa,mid_reasoning_post,60,1.071757972240448
qa_1,qa,pre_task,531,0.04235571622848511
qa_1,qa,post_task,553,0.07589095830917358
qa_1,qa,pre_reasoning,553,0.25093668699264526
qa_1,qa,mid_reasoning_pre,326,1.8477439880371094e-05
qa_1,qa,mid_reasoning_post,60,0.8494004011154175
math_14,math,pre_task,328,0.018040895462036133
math_14,math,post_task,328,0.1757504940032959
math_14,math,pre_reasoning,328,0.1546841859817505
math_14,math,mid_reasoning_pre,92,-1.1920928955078125e-07
math_14,math,mid_reasoning_post,60,0.30008572340011597
qa_11,qa,pre_task,335,0.10892850160598755
qa_11,qa,post_task,368,0.19718259572982788
qa_11,qa,pre_reasoning,368,0.10541796684265137
qa_11,qa,mid_reasoning_pre,167,3.8504600524902344e-05
qa_11,qa,mid_reasoning_post,60,1.5327079892158508
code_15,code,pre_task,339,0.05288118124008179
code_15,code,post_task,339,0.050712406635284424
code_15,code,pre_reasoning,339,0.04730933904647827
code_15,code,mid_reasoning_pre,118,3.927946090698242e-05
code_15,code,mid_reasoning_post,60,0.5367510914802551
qa_17,qa,pre_task,320,0.09344732761383057
qa_17,qa,post_task,352,0.10373365879058838
qa_17,qa,pre_reasoning,352,0.05906027555465698
qa_17,qa,mid_reasoning_pre,122,4.1484832763671875e-05
qa_17,qa,mid_reasoning_post,60,1.5258565545082092
math_12,math,pre_task,343,0.06681060791015625
math_12,math,post_task,343,0.036149024963378906
math_12,math,pre_reasoning,343,0.04503059387207031
math_12,math,mid_reasoning_pre,103,-1.1920928955078125e-07
math_12,math,mid_reasoning_post,60,1.6592949628829956
code_16,code,pre_task,341,0.04401719570159912
code_16,code,post_task,341,0.22012609243392944
code_16,code,pre_reasoning,341,0.23278802633285522
code_16,code,mid_reasoning_pre,109,4.0590763092041016e-05
code_16,code,mid_reasoning_post,60,1.1004377603530884
math_4,math,pre_task,387,0.07358354330062866
math_4,math,post_task,387,0.04972982406616211
math_4,math,pre_reasoning,387,0.05264061689376831
math_4,math,mid_reasoning_pre,149,8.940696716308594e-06
math_4,math,mid_reasoning_post,60,0.42816346883773804
qa_8,qa,pre_task,308,0.3445570468902588
qa_8,qa,post_task,279,0.3020895719528198
qa_8,qa,pre_reasoning,279,0.4093502163887024
qa_8,qa,mid_reasoning_pre,77,1.722574234008789e-05
qa_8,qa,mid_reasoning_post,60,1.3123069405555725
math_7,math,pre_task,346,0.041634559631347656
math_7,math,post_task,346,0.07499146461486816
math_7,math,pre_reasoning,346,0.08268511295318604
math_7,math,mid_reasoning_pre,105,-2.384185791015625e-07
math_7,math,mid_reasoning_post,60,1.051744282245636
code_12,code,pre_task,373,0.05250108242034912
code_12,code,post_task,373,0.04765772819519043
code_12,code,pre_reasoning,373,0.04925757646560669
code_12,code,mid_reasoning_pre,130,4.1365623474121094e-05
code_12,code,mid_reasoning_post,60,0.2567140460014343
qa_9,qa,pre_task,289,0.0726921558380127
qa_9,qa,post_task,265,0.025495171546936035
qa_9,qa,pre_reasoning,265,0.04778432846069336
qa_9,qa,mid_reasoning_pre,168,4.035234451293945e-05
qa_9,qa,mid_reasoning_post,60,0.48327910900115967
qa_12,qa,pre_task,293,0.13800573348999023
qa_12,qa,post_task,357,0.2521865963935852
qa_12,qa,pre_reasoning,412,0.3081643581390381
qa_12,qa,mid_reasoning_pre,176,1.7464160919189453e-05
qa_12,qa,mid_reasoning_post,60,2.03470915555954
math_3,math,pre_task,275,0.2023647427558899
math_3,math,post_task,279,0.018403172492980957
math_3,math,pre_reasoning,280,0.04438740015029907
math_3,math,mid_reasoning_pre,72,0.0
math_3,math,mid_reasoning_post,60,0.3961515426635742
qa_15,qa,pre_task,354,0.05136984586715698
qa_15,qa,post_task,388,0.12834882736206055
qa_15,qa,pre_reasoning,388,0.08783602714538574
qa_15,qa,mid_reasoning_pre,157,9.59634780883789e-06
qa_15,qa,mid_reasoning_post,60,0.4411860704421997
code_14,code,pre_task,330,0.04691314697265625
code_14,code,post_task,330,0.04668986797332764
code_14,code,pre_reasoning,330,0.0444149374961853
code_14,code,mid_reasoning_pre,87,-1.1920928955078125e-07
code_14,code,mid_reasoning_post,60,0.38642793893814087
qa_2,qa,pre_task,170,0.05758541822433472
qa_2,qa,post_task,335,0.1112709641456604
qa_2,qa,pre_reasoning,335,0.23033815622329712
qa_2,qa,mid_reasoning_pre,124,4.1604042053222656e-05
qa_2,qa,mid_reasoning_post,60,0.9716653823852539
math_17,math,pre_task,334,0.14955013990402222
math_17,math,post_task,334,0.2807161211967468
math_17,math,pre_reasoning,334,0.28501445055007935
math_17,math,mid_reasoning_pre,93,-1.1920928955078125e-07
math_17,math,mid_reasoning_post,60,1.3219457268714905
math_19,math,pre_task,341,0.07988590002059937
math_19,math,post_task,341,0.03687024116516113
math_19,math,pre_reasoning,341,0.038492441177368164
math_19,math,mid_reasoning_pre,100,-5.960464477539063e-08
math_19,math,mid_reasoning_post,60,0.30716365575790405
qa_5,qa,pre_task,380,0.24010825157165527
qa_5,qa,post_task,221,0.040899693965911865
qa_5,qa,pre_reasoning,380,0.10777783393859863
qa_5,qa,mid_reasoning_pre,154,1.0311603546142578e-05
qa_5,qa,mid_reasoning_post,60,1.1626004576683044
qa_3,qa,pre_task,329,0.03233593702316284
qa_3,qa,post_task,315,0.049972593784332275
qa_3,qa,pre_reasoning,315,0.04254502058029175
qa_3,qa,mid_reasoning_pre,177,4.363059997558594e-05
qa_3,qa,mid_reasoning_post,60,1.03227299451828
math_11,math,pre_task,341,0.008753478527069092
math_11,math,post_task,341,0.07326245307922363
math_11,math,pre_reasoning,341,0.09031212329864502
math_11,math,mid_reasoning_pre,104,-5.960464477539063e-08
math_11,math,mid_reasoning_post,60,0.7546969056129456
math_2,math,pre_task,333,0.031464219093322754
math_2,math,post_task,333,0.01937001943588257
math_2,math,pre_reasoning,333,0.03910553455352783
math_2,math,mid_reasoning_pre,96,-3.5762786865234375e-07
math_2,math,mid_reasoning_post,60,1.3928177952766418
code_2,code,pre_task,356,0.058184921741485596
code_2,code,post_task,356,0.12010526657104492
code_2,code,pre_reasoning,356,0.09881067276000977
code_2,code,mid_reasoning_pre,125,4.100799560546875e-05
code_2,code,mid_reasoning_post,60,0.7090982794761658
qa_7,qa,pre_task,427,0.09301817417144775
qa_7,qa,post_task,427,0.1262645125389099
qa_7,qa,pre_reasoning,427,0.16457760334014893
qa_7,qa,mid_reasoning_pre,206,1.5795230865478516e-05
qa_7,qa,mid_reasoning_post,60,0.4366545081138611
code_9,code,pre_task,371,0.1053200364112854
code_9,code,post_task,371,0.09964102506637573
code_9,code,pre_reasoning,371,0.08289819955825806
code_9,code,mid_reasoning_pre,133,3.8504600524902344e-05
code_9,code,mid_reasoning_post,60,0.617167055606842
code_7,code,pre_task,364,0.01601994037628174
code_7,code,post_task,364,0.10047256946563721
code_7,code,pre_reasoning,364,0.03596663475036621
code_7,code,mid_reasoning_pre,121,4.0531158447265625e-05
code_7,code,mid_reasoning_post,60,0.13268887996673584
math_1,math,pre_task,266,0.045068204402923584
math_1,math,post_task,294,0.16264545917510986
math_1,math,pre_reasoning,302,0.1358245611190796
math_1,math,mid_reasoning_pre,57,1.6868114471435547e-05
math_1,math,mid_reasoning_post,60,0.5560980439186096
code_4,code,pre_task,388,0.04533088207244873
code_4,code,post_task,388,0.044846951961517334
code_4,code,pre_reasoning,388,0.05253803730010986
code_4,code,mid_reasoning_pre,145,1.0311603546142578e-05
code_4,code,mid_reasoning_post,60,1.376698613166809
qa_19,qa,pre_task,203,0.062363386154174805
qa_19,qa,post_task,364,0.06614071130752563
qa_19,qa,pre_reasoning,364,0.066517174243927
qa_19,qa,mid_reasoning_pre,129,4.029273986816406e-05
qa_19,qa,mid_reasoning_post,60,0.6267372965812683
qa_13,qa,pre_task,238,0.0322306752204895
qa_13,qa,post_task,273,0.01778358221054077
qa_13,qa,pre_reasoning,278,0.04625588655471802
qa_13,qa,mid_reasoning_pre,180,0.0
qa_13,qa,mid_reasoning_post,60,0.3554413318634033
math_6,math,pre_task,318,0.0613178014755249
math_6,math,post_task,318,0.0838690996170044
math_6,math,pre_reasoning,318,0.12673789262771606
math_6,math,mid_reasoning_pre,80,1.7881393432617188e-07
math_6,math,mid_reasoning_post,60,1.0815620422363281
math_9,math,pre_task,336,0.08980065584182739
math_9,math,post_task,336,0.09583503007888794
math_9,math,pre_reasoning,336,0.03188431262969971
math_9,math,mid_reasoning_pre,103,-3.5762786865234375e-07
math_9,math,mid_reasoning_post,60,0.6147767305374146
math_8,math,pre_task,380,0.030953645706176758
math_8,math,post_task,380,0.2706456780433655
math_8,math,pre_reasoning,380,0.035255610942840576
math_8,math,mid_reasoning_pre,151,8.881092071533203e-06
math_8,math,mid_reasoning_post,60,0.7728825211524963
code_0,code,pre_task,395,0.03288900852203369
code_0,code,post_task,395,0.07870519161224365
code_0,code,pre_reasoning,395,0.033520638942718506
code_0,code,mid_reasoning_pre,152,9.5367431640625e-06
code_0,code,mid_reasoning_post,60,0.21977996826171875
math_18,math,pre_task,305,0.048838794231414795
math_18,math,post_task,305,0.03213942050933838
math_18,math,pre_reasoning,305,0.03278708457946777
math_18,math,mid_reasoning_pre,65,1.8298625946044922e-05
math_18,math,mid_reasoning_post,60,0.5641582608222961
qa_10,qa,pre_task,482,0.017847836017608643
qa_10,qa,post_task,482,0.16682279109954834
qa_10,qa,pre_reasoning,482,0.05377328395843506
qa_10,qa,mid_reasoning_pre,245,1.7881393432617188e-07
qa_10,qa,mid_reasoning_post,60,0.5959271192550659
code_6,code,pre_task,383,0.05576604604721069
code_6,code,post_task,383,0.022778093814849854
code_6,code,pre_reasoning,383,0.03758132457733154
code_6,code,mid_reasoning_pre,157,9.5367431640625e-06
code_6,code,mid_reasoning_post,60,0.6228065490722656
qa_16,qa,pre_task,445,0.03913545608520508
qa_16,qa,post_task,383,0.05936235189437866
qa_16,qa,pre_reasoning,383,0.07100540399551392
qa_16,qa,mid_reasoning_pre,213,1.8656253814697266e-05
qa_16,qa,mid_reasoning_post,60,0.7079604268074036
code_5,code,pre_task,363,0.04004180431365967
code_5,code,post_task,363,0.0756148099899292
code_5,code,pre_reasoning,363,0.06652027368545532
code_5,code,mid_reasoning_pre,153,3.731250762939453e-05
code_5,code,mid_reasoning_post,60,0.408464252948761
code_19,code,pre_task,376,0.026887357234954834
code_19,code,post_task,376,0.029653966426849365
code_19,code,pre_reasoning,376,0.02427959442138672
code_19,code,mid_reasoning_pre,133,4.023313522338867e-05
code_19,code,mid_reasoning_post,60,0.3279827833175659
qa_0,qa,pre_task,393,0.017617404460906982
qa_0,qa,post_task,462,0.03710365295410156
qa_0,qa,pre_reasoning,462,0.039958417415618896
qa_0,qa,mid_reasoning_pre,324,1.5079975128173828e-05
qa_0,qa,mid_reasoning_post,60,1.2707078456878662
code_8,code,pre_task,383,0.02733558416366577
code_8,code,post_task,383,0.04751992225646973
code_8,code,pre_reasoning,383,0.04310953617095947
code_8,code,mid_reasoning_pre,156,9.357929229736328e-06
code_8,code,mid_reasoning_post,60,1.9879745841026306
code_3,code,pre_task,390,0.0425451397895813
code_3,code,post_task,390,0.03014439344406128
code_3,code,pre_reasoning,390,0.027945637702941895
code_3,code,mid_reasoning_pre,147,1.0073184967041016e-05
code_3,code,mid_reasoning_post,60,0.3662533760070801
